from,to,mode,distance,time,price,co2
N1,N2,metro,0.818,1.4,50,11.5
N2,N1,metro,0.818,1.4,50,11.5
N2,N3,metro,3.593,6.16,50,50.3
N3,N2,metro,3.593,6.16,50,50.3
N3,N4,metro,0.594,1.02,50,8.3
N4,N3,metro,0.594,1.02,50,8.3
N4,N5,metro,0.76,1.3,50,10.6
N5,N4,metro,0.76,1.3,50,10.6
N5,N6,metro,0.425,0.73,50,6.0
N6,N5,metro,0.425,0.73,50,6.0
N6,N7,metro,0.579,0.99,50,8.1
N7,N6,metro,0.579,0.99,50,8.1
N7,N8,metro,0.707,1.21,50,9.9
N8,N7,metro,0.707,1.21,50,9.9
N8,N9,metro,1.335,2.29,50,18.7
N9,N8,metro,1.335,2.29,50,18.7
N9,N10,metro,0.997,1.71,50,14.0
N10,N9,metro,0.997,1.71,50,14.0
N10,N11,metro,1.275,2.19,50,17.8
N11,N10,metro,1.275,2.19,50,17.8
N11,N12,metro,1.135,1.95,50,15.9
N12,N11,metro,1.135,1.95,50,15.9
N12,N13,metro,1.159,1.99,50,16.2
N13,N12,metro,1.159,1.99,50,16.2
N13,N14,metro,0.787,1.35,50,11.0
N14,N13,metro,0.787,1.35,50,11.0
N14,N15,metro,1.184,2.03,50,16.6
N15,N14,metro,1.184,2.03,50,16.6
N15,N16,metro,0.708,1.21,50,9.9
N16,N15,metro,0.708,1.21,50,9.9
N12,N17,metro,0.823,1.41,50,11.5
N17,N12,metro,0.823,1.41,50,11.5
N17,N18,metro,1.144,1.96,50,16.0
N18,N17,metro,1.144,1.96,50,16.0
N18,N19,metro,1.924,3.3,50,26.9
N19,N18,metro,1.924,3.3,50,26.9
N20,N43,bus,4.149,16.6,20,282.1
N43,N20,bus,4.149,16.6,20,282.1
N20,N44,bus,6.076,24.3,30,413.2
N44,N20,bus,6.076,24.3,30,413.2
N20,N45,bus,4.57,18.28,30,310.8
N45,N20,bus,4.57,18.28,30,310.8
N20,N26,bus,1.628,6.51,20,110.7
